"ID","Categories","SubCategories","Title","MarketValuePrice","MSRPPrice","InternetPrice","SKUStock","Vin","ImageURL","ProductPageURL","Year","Make","Model","Trim","BodyType","DriveTrain","EngineSize","Transmission","InteriorColor","ExteriorColor","MPG","Mileage"
"KM8K62AA0LU446040-6cbc372f-cacf-4d91-8abe-3a65768c28fe","new","Kona","2020 Hyundai Kona SEL SUV",25265,24265,24265,"H200167","KM8K62AA0LU446040","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Kona/SUV/trim_SEL_Plus_f14ef5/color/Chalk%20White-P6W-234%2C234%2C234-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Kona-spartanburg+sc-baa699950a0e0ae76dee3a610d03d610.htm",2020,"Hyundai","Kona","SEL",,,,,"Gray Black","Chalk White",,
"KM8K62AA8LU451583-16bea7cf-8c3c-44da-9d48-7284baa07185","new","Kona","2020 Hyundai Kona SEL SUV",25265,24265,24265,"H200196","KM8K62AA8LU451583","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Kona/SUV/trim_SEL_Plus_f14ef5/color/Ultra%20Black-MZH-16%2C16%2C16-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Kona-spartanburg+sc-fda7425a0a0e0a1729282d22a1be1556.htm",2020,"Hyundai","Kona","SEL",,,,,"Black","Ultra Black",,
"KM8K62AA4LU457624-e57b47b0-05f8-4555-97f1-2a38dcb18c74","new","Kona","2020 Hyundai Kona SEL SUV",25260,24260,24260,"H200197","KM8K62AA4LU457624","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Kona/SUV/trim_SEL_Plus_f14ef5/color/Pulse%20Red-Y2R-118%2C17%2C31-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Kona-spartanburg+sc-fda7427e0a0e0a1729282d22c5a15bc2.htm",2020,"Hyundai","Kona","SEL",,,,,"Gray Black","Pulse Red",,
"KM8K62AA3LU453368-fbde11e7-18ee-49fb-95fe-61b568949dbf","new","Kona","2020 Hyundai Kona SEL SUV",25260,24260,24260,"H200199","KM8K62AA3LU453368","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Kona/SUV/trim_SEL_Plus_f14ef5/color/Ultra%20Black-MZH-16%2C16%2C16-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Kona-spartanburg+sc-fda742c20a0e0a1729282d22bde380e1.htm",2020,"Hyundai","Kona","SEL",,,,,"Gray Black","Ultra Black",,
"KM8J33A44LU128393-36fa67b8-04d2-4a99-8f7e-7a616a75c3ab","new","Tucson","2020 Hyundai Tucson Value SUV",26350,23850,23850,"H200178","KM8J33A44LU128393","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS021C0/NKA.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-bfd002400a0e0ae71350243c64ba8cb9.htm",2020,"Hyundai","Tucson","Value",,,,,"Gray","Black Noir Pearl",,
"KM8J33A48LU100984-73d5286d-a64e-4e81-82aa-8f3c990d2140","new","Tucson","2020 Hyundai Tucson Value SUV",26335,23835,23835,"H200166","KM8J33A48LU100984","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS021C0/NKA.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-baa699740a0e0ae76dee3a612d25b328.htm",2020,"Hyundai","Tucson","Value",,,,,"Black","Black Noir Pearl",,
"KM8J33A49LU120046-34b0cde5-4516-46d5-b265-92905fbce9ce","new","Tucson","2020 Hyundai Tucson Value SUV",26335,23835,23835,"H200200","KM8J33A49LU120046","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS021C0/R5R.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-fda743000a0e0a1729282d22e6582f06.htm",2020,"Hyundai","Tucson","Value",,,,,"Beige","Gemstone Red",,
"KM8J33A49LU123643-f94a52e1-7d85-40b4-aca2-c11586aa1f42","new","Tucson","2020 Hyundai Tucson Value SUV",26335,23835,23835,"H200203","KM8J33A49LU123643","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS021C0/NKA.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-02c2f90f0a0e0adf16c802d41d28e62f.htm",2020,"Hyundai","Tucson","Value",,,,,"Black","Black Noir Pearl",,
"KM8J33A41LU113463-33bbcc97-76cb-4cce-8a35-9d3e97c4c6b0","new","Tucson","2020 Hyundai Tucson Value SUV",26335,23835,23835,"H200201","KM8J33A41LU113463","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS021C0/WW2.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-02c2f5b20a0e0adf16c802d4be1d8e99.htm",2020,"Hyundai","Tucson","Value",,,,,"Gray","Winter White",,
"KM8J33AL4LU090686-515ba774-9d0d-450c-bdce-fff3d916014f","new","Tucson","2020 Hyundai Tucson Sport FWD SUV",29520,27020,27020,"H200092","KM8J33AL4LU090686","https://pictures.dealer.com/b/bensonhyundai/0802/aeb9d79ee12f769b4d02dd27bc0b3725x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-be4c92f90a0e0a1711f6822b96e4ee3e.htm",2020,"Hyundai","Tucson","Sport",,,,,"Gray","Stellar Silver",,
